id,descripcion,train_rmse,val_rmse,val_std,gap,gap_ratio,epocas,seg,n_features,pre_config,model_config
it20,weight_decay=0.01,21548.2,31766.3,3545.8,10218.1,0.474,34.3,22.1,202,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it21,sin features derivadas,20672.6,34052.4,2220.3,13379.8,0.647,44.9,25.0,191,"{""derived"": false, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it22,sin log1p a sesgadas,21334.2,32514.4,4701.9,11180.2,0.524,33.5,21.6,202,"{""derived"": true, ""log_skewed"": false, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it23,sin agrupar categorías raras,21205.8,31195.0,2547.2,9989.1,0.471,43.3,24.1,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it24,conservando cuasi-constantes,26261.9,35950.0,1552.8,9688.1,0.369,20.3,17.9,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": false, ""rare_min_count"": 5, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it25,agrupación de raras más agresiva,24187.9,31778.8,3394.1,7590.9,0.314,31.5,20.8,168,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 15, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it26,sin puntos influyentes,20666.6,32073.0,2718.1,11406.4,0.552,25.3,19.5,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it27,sin Partial de >3000 sqft,19655.2,31947.6,2574.7,12292.4,0.625,38.6,23.3,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it28,sin influyentes ni Partial grandes,19655.2,31947.6,2574.7,12292.4,0.625,38.6,23.6,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it29,sin el 0.5 % más caro,18325.9,32127.3,3410.1,13801.4,0.753,34.7,21.7,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it30,pérdida Huber,27875.0,32470.8,1647.2,4595.8,0.165,19.7,18.3,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""huber"", ""log_target"": true, ""seed"": 42}"
it31,batch_size=32,19619.8,34578.0,5925.4,14958.2,0.762,30.9,33.9,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 32, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it32,batch_size=128,22079.6,31689.5,2313.7,9609.9,0.435,42.0,16.2,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 128, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it33,lr=0.0003,24025.4,34653.3,2504.4,10627.9,0.442,51.9,27.2,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.0003, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it34,lr=0.003,20362.9,31714.3,4498.8,11351.4,0.557,30.6,20.8,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.003, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it35,scheduler cosine,20589.8,31081.9,2621.2,10492.2,0.51,38.7,23.3,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""cosine"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it36,activación gelu,20520.6,31392.8,2653.7,10872.2,0.53,28.9,20.3,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""gelu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it37,activación silu,19373.3,31593.3,3014.5,12220.0,0.631,37.6,23.0,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""silu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 250, ""patience"": 35, ""scheduler"": ""plateau"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
it38,"mejor config, entrenamiento largo",16972.9,30282.1,2951.9,13309.2,0.784,81.9,49.8,217,"{""derived"": true, ""log_skewed"": true, ""skew_threshold"": 0.75, ""drop_quasi_constant"": true, ""rare_min_count"": 0, ""scale"": true}","{""hidden"": [128, 64], ""dropout"": 0.35, ""batchnorm"": true, ""activation"": ""relu"", ""lr"": 0.001, ""weight_decay"": 0.01, ""batch_size"": 64, ""max_epochs"": 600, ""patience"": 80, ""scheduler"": ""cosine"", ""loss"": ""mse"", ""log_target"": true, ""seed"": 42}"
